id,postulante_id,dni,postulante,convocatoria,concepto,tipo_pago,monto,voucher,fecha_pago,estado_pago,observacion
1,1,73698379,Víctor Erick Huanca Aguilar,2024-II,Derecho de admisión,Admisión,220.0,V-2024B00001,2024-08-11,Validado,
2,2,76374122,Sofía Torres Carrasco,2025-I,Derecho de admisión,Admisión,240.0,V-2025A00001,2025-03-22,Validado,
3,3,76067228,Flor Villanueva Núñez,2026-I,Derecho de admisión,Admisión,220.0,V-2026A00001,2026-03-22,Pendiente,Esperando verificación de voucher
4,4,76120868,Fernando Puma Cano,2024-I,Derecho de admisión,Admisión,220.0,V-2024A00001,2024-03-22,Observado,Monto no coincide con el voucher
5,5,73539704,Fernando Puma Blanco,2024-II,Derecho de admisión,Admisión,220.0,V-2024B00002,2024-09-01,Validado,
6,6,77082668,Miguel Espinoza Hidalgo,2024-I,Derecho de admisión,Admisión,240.0,V-2024A00002,2024-03-20,Pendiente,Revisión pendiente por tesorería
7,7,75707197,Pablo Rubén Flores Navarro,2026-I,Derecho de admisión,Admisión,220.0,V-2026A00002,2026-03-15,Validado,
8,5116,78735289,Fatima Sánchez Sánchez,2024-II,Derecho de admision,Admisión,240.0,V-2024B01019,2024-08-02,Validado,
9,1084,74772877,Marco Cruz Alonso,2026-I,Derecho de admision,Admisión,220.0,V-2026A00209,2026-03-16,Validado,
10,211,77581910,Patricia Medina Lozano,2025-II,Derecho de admision,Admisión,220.0,V-2025B00053,2025-08-06,Validado,
11,6158,70839064,Ana Medina Benítez,2026-I,Derecho de admision,Admisión,240.0,V-2026A01270,2026-03-28,Validado,
12,2249,77801142,Xiomara Chávez Navarro,2024-I,Derecho de admision,Admisión,240.0,V-2024A00453,2024-03-04,Validado,
13,6146,74357945,Raúl Javier Vargas Vásquez,2026-I,Derecho de admision,Admisión,220.0,V-2026A01266,2026-03-17,Validado,
14,391,72461642,Mónica Campos Castro,2024-I,Derecho de admision,Admisión,240.0,V-2024A00074,2024-03-13,Validado,
15,365,70915141,Jhon Carlos Ruiz Núñez,2025-I,Derecho de admision,Admisión,240.0,V-2025A00059,2025-03-23,Validado,
16,1288,71063160,Stephanie Fatima Rodríguez Benítez,2025-I,Derecho de admision,Admisión,240.0,V-2025A00237,2025-03-10,Pendiente,Esperando verificacion
17,3302,70027607,Rubén Rodríguez Navarro,2025-II,Derecho de admision,Admisión,220.0,V-2025B00656,2025-08-31,Validado,
18,7240,77889720,Rocío García Castro,2023-II,Derecho de admision,Admisión,240.0,V-2024B00444,2023-08-10,Pendiente,
19,134,78049765,Wilmer Morales Romero,2025-I,Derecho de admision,Admisión,240.0,V-2025A00022,2025-03-06,Validado,
20,6989,79608085,Claudia Rodríguez Castro,2023-I,Derecho de admision,Admisión,240.0,V-2024B00286,2023-03-20,Validado,
21,7226,73366201,Andrea Vega Romero,2023-II,Derecho de admision,Admisión,240.0,V-2024A01204,2023-08-18,Pendiente,Esperando verificacion
22,1548,76590456,Paola Vega Serrano,2025-I,Derecho de admision,Admisión,220.0,V-2025A00280,2025-03-27,Pendiente,Esperando verificacion
23,5299,78010069,Daniela Valeria Quispe Delgado,2025-II,Derecho de admision,Admisión,240.0,V-2025B01057,2025-08-17,Pendiente,Esperando verificacion
24,4190,79680829,Evelyn Carmen Huanca Cabrera,2024-I,Derecho de admision,Admisión,220.0,V-2024A00841,2024-03-19,Validado,
25,817,70093993,Nadia Mendoza Blanco,2025-II,Derecho de admision,Admisión,220.0,V-2025B00184,2025-08-07,Pendiente,
26,6947,77388144,Evelyn Castillo Serrano,2023-I,Derecho de admision,Admisión,240.0,V-2024A00808,2023-03-29,Validado,
27,2023,71397238,Wilmer Rodrigo Huamán Sánchez,2025-I,Derecho de admision,Admisión,220.0,V-2025A00374,2025-03-25,Validado,
28,2877,70897661,Jhon Pilco Romero,2024-I,Derecho de admision,Admisión,220.0,V-2024A00584,2024-03-07,Pendiente,Esperando verificacion
29,3672,76113655,César Alex Ccallo Gutiérrez,2024-II,Derecho de admision,Admisión,240.0,V-2024B00740,2024-08-27,Pendiente,Esperando verificacion
30,983,75353005,Juan Paredes Muñoz,2025-I,Derecho de admision,Admisión,240.0,V-2025A00181,2025-03-12,Pendiente,Esperando verificacion
31,2888,74170973,Rubén Rojas Castro,2025-I,Derecho de admision,Admisión,220.0,V-2025A00548,2025-02-28,Validado,
32,1231,77496392,Milagros Ramos Vásquez,2026-I,Derecho de admision,Admisión,240.0,V-2026A00237,2026-03-16,Validado,
33,6860,78904588,Pablo Vega Sánchez,2023-I,Derecho de admision,Admisión,240.0,V-2024A00660,2023-04-02,Validado,
34,7324,75874853,Fatima Liseth Vargas Aguilar,2023-II,Derecho de admision,Admisión,220.0,V-2024B00931,2023-08-16,Observado,Pendiente de revision
35,1803,73195110,Sebastián García Cano,2025-I,Derecho de admision,Admisión,240.0,V-2025A00330,2025-03-01,Validado,
36,5794,73127858,Stephanie Cárdenas Aguilar,2024-I,Derecho de admision,Admisión,220.0,V-2024A01165,2024-03-16,Validado,
37,2857,77151482,Sofía Torres Gutiérrez,2026-I,Derecho de admision,Admisión,220.0,V-2026A00581,2026-03-11,Pendiente,
